issue_id,audit_title,issue_title,issue_description,severity,status,assigned_to,created_date
ISS-0001,Financial Controls Assessment Manufacturing Operations,Inadequate Payroll Control Controls,System configurations for audit trails do not meet security requirements,High,Open,Auditor_2,2024-04-08
ISS-0002,Financial Controls Assessment Manufacturing Operations,Lack of Inventory Control Controls,Training programs for system users are outdated or insufficient,High,Open,Auditor_7,2024-06-09
ISS-0003,Financial Controls Assessment Manufacturing Operations,Weak Documentation Procedures,Training programs for staff members are outdated or insufficient,High,Closed,Auditor_8,2024-09-04
ISS-0004,IT Security Data Privacy Compliance Review,Insufficient Vendor Management Controls,Monitoring activities for quality standards are not performed regularly,Medium,Open,Auditor_4,2024-02-13
ISS-0005,IT Security Data Privacy Compliance Review,Outdated IT Security Procedures,Policies related to vendor selection lack proper implementation,Low,Closed,Auditor_3,2024-09-24
ISS-0006,IT Security Data Privacy Compliance Review,Missing Process Control Controls,Monitoring activities for quality standards are not performed regularly,High,In Progress,Auditor_7,2024-05-03
ISS-0007,IT Security Data Privacy Compliance Review,Missing Quality Control Procedures,Documentation for approval processes is incomplete or missing,Medium,Open,Auditor_4,2024-12-18
ISS-0008,IT Security Data Privacy Compliance Review,Lack of Compliance Procedures,Policies related to revenue recording lack proper implementation,High,Open,Auditor_3,2024-11-06
ISS-0009,IT Security Data Privacy Compliance Review,Unauthorized Inventory Control Controls,Policies related to revenue recording lack proper implementation,Low,Closed,Auditor_5,2024-11-11
ISS-0010,Procurement Process Vendor Management Audit,Outdated Financial Control Controls,Training programs for system users are outdated or insufficient,Low,Closed,Auditor_10,2024-04-05
ISS-0011,Procurement Process Vendor Management Audit,Incomplete Cash Management Controls,Training programs for management personnel are outdated or insufficient,High,Open,Auditor_4,2024-10-03
ISS-0012,Procurement Process Vendor Management Audit,Insufficient Payroll Control Controls,Training programs for system users are outdated or insufficient,Low,Closed,Auditor_7,2024-04-18
ISS-0013,Revenue Recognition Sales Process Review,Outdated Financial Control Procedures,Policies related to inventory management lack proper implementation,Medium,Open,Auditor_10,2024-09-08
ISS-0014,Revenue Recognition Sales Process Review,Poor Documentation Controls,Monitoring activities for compliance requirements are not performed regularly,Medium,Closed,Auditor_8,2024-04-18
ISS-0015,Revenue Recognition Sales Process Review,Weak Payroll Control Procedures,Policies related to revenue recording lack proper implementation,Low,In Progress,Auditor_6,2024-07-14
